job_id,resume_id,skills_score,degrees_score,majors_score,overall_score,label
4288,4288,0.656444,0.5,0,0.453222,1
4385,4385,0.570176,0.5,0.5,0.535088,1
4515,4515,0.342912,0.5,0.5,0.421456,1
5184,5184,0.572986,0.5,0,0.411493,1
4334,4334,0.662937,0,0.5,0.4564685,1
4993,4993,0.776268,0.5,0.5,0.638134,1
4287,4287,0.742526,0.5,0,0.496263,1
4448,4448,0.707527,0,0.5,0.4787635,1
4329,4329,0.483993,0.5,0,0.3669965,1
4289,4289,0.481237,0.5,0.5,0.4906185,1
4595,4595,0.673682,0.5,0.5,0.586841,1
4327,4327,0.60163,0,0.5,0.425815,1
4382,4382,0.606393,0,0.5,0.4281965,1
4333,4333,0.417534,0.5,0.5,0.45876700000000004,1
4292,4292,0.467767,0.5,0,0.3588835,1
4336,4336,0.484937,0.5,0,0.3674685,1
4380,4380,0.44395,0.5,0.5,0.47197500000000003,1
5248,5248,0.652836,0.5,0.5,0.576418,1
4520,4520,0.800524,0,0.5,0.525262,1
4291,4291,0.674806,0,0.5,0.462403,1
4447,4447,0.760924,0,0.5,0.5054620000000001,1
4338,4338,0.495089,0.5,0.5,0.4975445,1
5001,5001,0.662507,0.5,0.5,0.5812535,1
4290,4290,0.457218,0.5,0.5,0.478609,1
4339,4339,0.496329,0.5,0.5,0.4981645,1
4389,4389,0.658951,0,0.5,0.4544755,1
4522,4522,0.722226,0.5,0,0.486113,1
4772,4772,0.563105,0.5,0.5,0.5315525,1
4294,4294,0.797738,0.5,0.5,0.6488689999999999,1
4386,4386,0.49192,0.5,0.5,0.49596,1
4680,4680,0.40644,0.5,0,0.32822,1
4446,4446,0.76003,0,0.5,0.505015,1
4299,4299,0.519406,0,0.5,0.384703,1
4450,4450,0.371825,0.5,0,0.31091250000000004,1
4391,4391,0.5,0.5,0,0.375,1
4882,4882,0.673958,0.5,0.5,0.5869789999999999,1
4296,4296,0.742303,0.5,0.5,0.6211515000000001,1
4342,4342,0.236516,0,0.5,0.243258,1
4393,4393,0.594618,0.5,0,0.422309,1
4521,4521,0.754264,0.5,0,0.502132,1
4449,4449,0.439867,0,0.5,0.3449335,1
4343,4343,0.468768,0.5,0.5,0.48438400000000004,1
4395,4395,0.438463,0.5,0.5,0.4692315,1
4685,4685,0.524078,0.5,0.5,0.512039,1
4445,4445,0.645852,0,0.5,0.447926,1
4293,4293,0.55881,0.5,0.5,0.529405,1
4347,4347,0.509385,0,0.5,0.3796925,1
4451,4451,0.33893,0.5,0,0.294465,1
4298,4298,0.55653,0.5,0,0.403265,1
4344,4344,0.522147,0,0.5,0.3860735,1
4590,4590,0.342258,0.5,0.5,0.421129,1
4392,4392,0.556041,0,0.5,0.4030205,1
4305,4305,0.633436,0.5,0,0.441718,1
4345,4345,0.595476,0,0.5,0.422738,1
4388,4388,0.452939,0,0.5,0.3514695,1
4526,4526,0.617444,0.5,0.5,0.5587219999999999,1
4454,4454,0.61818,0,0.5,0.43409,1
4303,4303,0.543077,0,0.5,0.3965385,1
4394,4394,0.681557,0,0.5,0.4657785,1
4349,4349,0.567524,0.5,0,0.408762,1
4457,4457,0.486351,0.5,0.5,0.4931755,1
4301,4301,0.540426,0.5,0.5,0.520213,1
4351,4351,0.352969,0.5,0,0.3014845,1
4396,4396,0.760086,0.5,0.5,0.630043,1
4687,4687,0.838676,0.5,0,0.544338,1
4998,4998,0.676498,0.5,0.5,0.588249,1
4304,4304,0.673675,0,0.5,0.4618375,1
4355,4355,0.833333,0.5,0,0.5416665,1
4399,4399,0.530011,0.5,0.5,0.5150055,1
4592,4592,0.637876,0.5,0,0.443938,1
4453,4453,0.73105,0,0.5,0.490525,1
4302,4302,0.772371,0,0.5,0.5111855000000001,1
4346,4346,0.587122,0.5,0.5,0.543561,1
4390,4390,0.540471,0.5,0,0.3952355,1
5012,5012,0.623786,0.5,0.5,0.561893,1
4456,4456,0.435914,0.5,0.5,0.467957,1
4310,4310,0.660931,0.5,0.5,0.5804655000000001,1
4350,4350,0.624202,0,0.5,0.437101,1
4397,4397,0.461319,0.5,0.5,0.4806595,1
4523,4523,0.60098,0,0.5,0.42549,1
4459,4459,0.502042,0.5,0.5,0.5010209999999999,1
4586,4586,0.738867,0,0.5,0.4944335,1
4357,4357,0.60585,0.5,0.5,0.552925,1
4403,4403,0.847669,0.5,0.5,0.6738345,1
4458,4458,0.632916,0,0.5,0.441458,1
4517,4517,0.759259,0,0.5,0.5046295000000001,1
